"","id","sex","age","department","year","familiarity","frequency","perform_better","feedback","update","reduce_skills","understanding","unethical","Uses_ChatGPT","Uses_Copilot","Uses_Deep_Seek","Uses_Question_AI","Uses_Quillbot","Uses_Google_gemini","Uses_Grok","Uses_None_at_all","Uses_Cursor","Uses_Turbolearn","Uses_Cluadia","Uses_thethawise","Uses_Cloud","Uses_Poe","Purpose_For_studying","Purpose_For_doing_assignments","Purpose_For_editing_assignments_only","Purpose_None","Purpose_For_quizzes_(test)","Purpose_For_research."
"1",1,"0","20","Computer Science","3","3","5","5","2","2","4","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"2",2,"0","23","Computer Science","4","3","5","4","4","5","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0"
"3",3,"0","24","Statistics","4","3","4","4","4","5","5","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"5",4,"0","22","Biology","4","3","5","4","1","2","1","4","4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"6",5,"0","22","Statistics","3","3","3","2","2","3","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"8",6,"0","21","Statistics","3","3","3","4","5","2","2","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"9",7,"0","21","Statistics","3","4","4","4","3","4","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"10",8,"1","19","Computer Science","1","3","4","3","4","2","4","2","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"11",9,"0","25","Biology","4","4","1","1","3","3","5","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"12",10,"0","20","Statistics","2","3","4","4","4","4","4","2","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"13",11,"0","21","Computer Science","3","4","2","3","2","4","2","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"14",12,"0","21","Other Natural Sciences","1","3","3","3","4","4","3","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
